Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Health Benefits,Suitable Age Group,Meal Type,BMI,BMI Category
"Fast foods, with beans and cheese, burrito",205,3,76,19,General nutrition,All ages,Other,21.7,Normal weight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",207,3,2,1,General nutrition,Children,Dinner,21.7,Normal weight
"CAMPBELL'S CHUNKY Soups, Slow Roasted Beef with Mushrooms Soup",48,28,27,2,General nutrition,All ages,Lunch,18.5,Underweight
"Beef, broiled, cooked, all grades, trimmed to 0"" fat, separable lean only, inside skirt steak, plate",205,47,0,17,General nutrition,All ages,Dinner,21.7,Normal weight
"Crustaceans, canned, blue, crab",83,10,29,18,General nutrition,Children,Other,18.5,Underweight
"Sausage, with cheddar cheese, sticks, pork and beef, summer",426,39,13,19,General nutrition,Old age,Other,27.45,Overweight
Corned beef and potatoes in tortilla (Apache),224,29,7,20,General nutrition,Children,Other,21.7,Normal weight
"Peas, with salt, drained, boiled, cooked, frozen, edible-podded",50,28,90,2,General nutrition,Adults,Other,18.5,Underweight
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean only, roast, bottom round, round",140,35,72,25,General nutrition,Children,Other,18.5,Underweight
"Infant formula, with ARA and DHA, powder, AR LIPIL, ENFAMIL, MEAD JOHNSON",509,11,72,26,General nutrition,Adults,Other,27.45,Overweight
"Salad dressing, regular, mayonnaise",680,43,40,24,General nutrition,All ages,Lunch,30.0,Obesity
"Corn pudding, home prepared",131,47,91,23,General nutrition,Adults,Other,18.5,Underweight
"Pork, raw, separable lean and fat, boneless, center loin (chops), loin, fresh",201,12,55,28,General nutrition,Children,Other,21.7,Normal weight
"Beef, raw, select, separable lean and fat, chuck for stew",124,47,34,21,General nutrition,Old age,Other,18.5,Underweight
"Game meat, raw, trimmed to 0"" fat, separable lean only, top sirloin, bison",113,20,74,19,General nutrition,Children,Dinner,18.5,Underweight
"Seaweed, rehydrated, Canadian Cultivated EMI-TSUNOMATA",31,3,37,27,General nutrition,All ages,Other,18.5,Underweight
"Beef, broiled, cooked, patty, 75% lean meat / 25% fat, ground",279,47,79,0,General nutrition,Old age,Dinner,21.7,Normal weight
"KELLOGG'S, French Toast, Waffles, EGGO",305,32,9,6,General nutrition,Children,Breakfast,21.7,Normal weight
"Fast foods, hush puppies",296,38,56,3,General nutrition,Old age,Other,21.7,Normal weight
"Salami, pork, Italian",425,10,1,24,General nutrition,Children,Other,27.45,Overweight
"Muffins, toasted, toaster-type with raisins, wheat bran",313,34,20,2,General nutrition,All ages,Breakfast,21.7,Normal weight
HOUSE FOODS Premium Soft Tofu,59,37,91,22,General nutrition,Adults,Other,18.5,Underweight
"CAMPBELL'S Soup on the GO, HEALTHY REQUEST Chicken with Mini Noodles Soup",20,4,31,10,General nutrition,Children,Lunch,18.5,Underweight
"Lamb, fast fried, cooked, separable lean only, tenderloin, imported, New Zealand",155,22,64,5,General nutrition,Children,Other,18.5,Underweight
"SUPPER BAKES MEAL KITS, Southwestern-Style Chicken w/rice (chicken not included)",189,2,93,14,General nutrition,Adults,Dinner,18.5,Underweight
"Beans, without salt, boiled, cooked, mature seeds, pink",149,5,88,26,General nutrition,Old age,Other,18.5,Underweight
"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, small end (ribs 10-12), rib",323,24,70,7,General nutrition,All ages,Other,21.7,Normal weight
"Soup, single brand, ready-to-serve, microwavable, vegetable beef",44,8,25,23,General nutrition,Children,Lunch,18.5,Underweight
"Beverages, contains caffeine, pepper-type, carbonated",41,35,4,9,General nutrition,All ages,Other,18.5,Underweight
"Crackers, rusk toast",407,17,40,23,General nutrition,Children,Breakfast,27.45,Overweight
"Oil, oat",884,38,24,13,General nutrition,All ages,Breakfast,30.0,Obesity
"Lamb, raw, pancreas, variety meats and by-products",152,40,24,26,General nutrition,Old age,Dinner,18.5,Underweight
"Lamb, raw, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin chops, leg, fresh, imported, Australian",208,46,37,21,General nutrition,Children,Other,21.7,Normal weight
"Lima beans, raw, mature seeds, thin seeded (baby)",335,3,49,21,General nutrition,Old age,Other,21.7,Normal weight
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",203,0,77,27,General nutrition,Adults,Other,21.7,Normal weight
"T.G.I. FRIDAY'S, from kid's menu, macaroni & cheese",121,3,4,7,General nutrition,Children,Other,18.5,Underweight
"Lamb, grilled, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, rib chop, fresh, imported, Australian",234,17,96,29,General nutrition,Children,Other,21.7,Normal weight
"Ice creams, rich, vanilla",249,42,14,6,General nutrition,Old age,Other,21.7,Normal weight
"Pork, roasted, heated, separable lean only, boneless, whole, ham -- water added, cured",117,33,1,23,General nutrition,Adults,Other,18.5,Underweight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, roast, bottom round, round",128,36,75,29,General nutrition,Adults,Other,18.5,Underweight
"Fish, raw, cusk",87,45,83,10,"Brain development, Joint health, Mood improvement",Old age,Dinner,18.5,Underweight
"MORNINGSTAR FARMS Garden Veggie Nuggets, unprepared, frozen",197,41,95,20,General nutrition,Adults,Breakfast,18.5,Underweight
"Corn, without salt, drained, boiled, kernels cut off cob, frozen, yellow, sweet",81,30,37,16,General nutrition,Children,Other,18.5,Underweight
"Cereals ready-to-eat, pecan bunches, HONEY BUNCHES OF OATS, POST",399,20,35,3,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,21.7,Normal weight
"Desserts, dry mix, chocolate, rennin",363,37,78,0,General nutrition,Children,Other,21.7,Normal weight
"Danish pastry, nut (includes almond, raisin nut, cinnamon nut)",430,36,23,2,General nutrition,Adults,Other,27.45,Overweight
"Chicken, meat only, thigh, BBQ, rotisserie, broiler",193,8,37,10,General nutrition,Old age,Dinner,18.5,Underweight
"Soup, ready-to-serve, reduced sodium, canned, minestrone",50,21,83,0,General nutrition,Children,Lunch,18.5,Underweight
"KEEBLER, Mini Fudge Stripes Cookies, FUDGE SHOPPE, 100 Calorie RIGHT BITES",470,10,94,23,General nutrition,Adults,Other,27.45,Overweight
"Snacks, peanut butter, uncoated, soft, granola bars",426,33,15,14,General nutrition,Old age,Breakfast,27.45,Overweight
"Popovers, enriched, dry mix",371,28,99,28,General nutrition,Old age,Other,21.7,Normal weight
"Canadian bacon, unprepared",110,28,42,10,General nutrition,All ages,Other,18.5,Underweight
"Candies, KRACKEL Chocolate Bar",512,12,64,26,General nutrition,Old age,Snack,27.45,Overweight
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, shoulder steak",182,35,73,22,General nutrition,Adults,Dinner,18.5,Underweight
Lard,902,13,76,27,General nutrition,Old age,Other,30.0,Obesity
"Egg custards, dry mix",410,7,49,22,General nutrition,Children,Breakfast,27.45,Overweight
"Fish, raw, mixed species, shark",130,15,95,17,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Squab, raw, meat and skin, (pigeon)",294,12,63,26,General nutrition,Old age,Dinner,21.7,Normal weight
"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, boneless, flat half, brisket",158,12,8,18,General nutrition,All ages,Other,18.5,Underweight
"Infant formula, with ARA and DHA, ready-to-feed, with iron, ADVANCE 24, SPECIAL CARE, SIMILAC, ABBOTT NUTRITION",71,48,43,3,General nutrition,Children,Other,18.5,Underweight
"Soy flour, roasted, full-fat",439,44,80,9,General nutrition,Adults,Other,27.45,Overweight
"Pie, prepared from recipe, pumpkin",204,20,86,15,General nutrition,Children,Other,21.7,Normal weight
"CAMPBELL'S Soup on the Go, Creamy Chicken Soup",43,30,82,12,General nutrition,Old age,Lunch,18.5,Underweight
"OLIVE GARDEN, lasagna classico",184,44,89,7,General nutrition,Adults,Other,18.5,Underweight
"Beans, raw, sprouted, mature seeds, pinto",62,42,94,5,General nutrition,Children,Other,18.5,Underweight
"Corn dogs, prepared, frozen",250,23,3,27,General nutrition,Children,Other,21.7,Normal weight
"Beef, boiled, cooked, tongue, variety meats and by-products, imported, New Zealand",271,40,91,13,General nutrition,Children,Dinner,21.7,Normal weight
"Salad dressing, soybean, imitation, mayonnaise",232,11,77,20,General nutrition,All ages,Lunch,21.7,Normal weight
"Chicken, roasted, cooked, meat only, roasting",167,14,12,2,General nutrition,All ages,Dinner,18.5,Underweight
"SUNSHINE, Baby Swiss Crackers, CHEEZ-IT",503,35,64,16,General nutrition,Old age,Other,27.45,Overweight
"Snacks, salted, white corn, plain, tortilla chips",472,45,54,13,General nutrition,Adults,Snack,27.45,Overweight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, inside skirt, boneless, plate steak",233,37,5,3,General nutrition,All ages,Dinner,21.7,Normal weight
"Papayas, raw",43,3,14,17,General nutrition,Old age,Other,18.5,Underweight
"Soup, condensed, canned, vegetarian vegetable",59,16,22,16,General nutrition,All ages,Lunch,18.5,Underweight
"Pork, cooked, rendered fat, bacon",898,30,30,22,General nutrition,Adults,Other,30.0,Obesity
Ascidians (tunughnak) (Alaska Native),20,40,12,27,General nutrition,Old age,Other,18.5,Underweight
"Turkey, bone removed, with skin, cooked, smoked, light or dark meat",208,39,66,3,General nutrition,All ages,Dinner,21.7,Normal weight
"Danish pastry, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry), fruit",371,3,30,18,General nutrition,Old age,Snack,21.7,Normal weight
"Pasta, cooked, made with egg, homemade",130,42,89,15,General nutrition,Adults,Breakfast,18.5,Underweight
"DOMINO'S 14"" Cheese Pizza, Classic Hand-Tossed Crust",257,7,35,8,General nutrition,All ages,Other,21.7,Normal weight
"Parsnips, with salt, drained, boiled, cooked",71,43,0,26,General nutrition,Old age,Other,18.5,Underweight
"Cinnamon buns, frosted (includes honey buns)",452,26,59,3,General nutrition,Children,Other,27.45,Overweight
"Cereals ready-to-eat, SWEET CRUNCH/QUISP, QUAKER",406,2,62,16,"Sustained energy, Digestive health, Blood sugar control",Children,Breakfast,27.45,Overweight
"Snacks, unsalted, regular, trail mix",462,18,10,8,General nutrition,Old age,Snack,27.45,Overweight
"Cereals ready-to-eat, USDA Commodity Corn and Rice (includes all commodity brands)",378,44,23,24,"Sustained energy, Digestive health, Blood sugar control",All ages,Breakfast,21.7,Normal weight
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",374,41,28,18,General nutrition,Adults,Other,21.7,Normal weight
"Potatoes, whole milk and butter, prepared with water, dry mix, scalloped",93,8,65,20,General nutrition,Old age,Other,18.5,Underweight
"MORNINGSTAR FARMS Lasagna with Veggie Sausage, unprepared, frozen",96,10,0,26,General nutrition,Adults,Breakfast,18.5,Underweight
"Veal, raw, separable lean only, arm, shoulder",105,17,15,8,General nutrition,Children,Other,18.5,Underweight
"Fish, drained solids with bone, without salt, canned, sockeye, salmon",153,18,24,17,"Brain development, Joint health, Mood improvement",Adults,Dinner,18.5,Underweight
"Milk, without added vitamin D, whole, dry",496,36,65,18,General nutrition,Old age,Other,27.45,Overweight
"Candies, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies, MARS SNACKFOOD US",443,29,9,16,General nutrition,All ages,Snack,27.45,Overweight
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, boneless, bottom, leg, fresh, imported, Australian",190,26,35,2,General nutrition,Children,Other,18.5,Underweight
"Formulated bar, chocolate, POWER BAR",363,34,97,9,General nutrition,Adults,Snack,21.7,Normal weight
"KEEBLER, Reduced Fat, 1/2 Dipped, Fudge Grahams, FUDGE SHOPPE",470,31,72,28,General nutrition,Adults,Other,27.45,Overweight
"Milk, reduced fat, cultured, fluid, buttermilk",56,26,14,24,General nutrition,Adults,Other,18.5,Underweight
"SILK Very Vanilla, soymilk",53,10,11,19,General nutrition,Adults,Other,18.5,Underweight
"Pork, pan-broil, heated, separable lean only, boneless, slice, ham and water product, cured",123,0,98,8,General nutrition,All ages,Other,18.5,Underweight
"Fish, drained solids with bone, without salt, canned, chum, salmon",141,24,97,12,"Brain development, Joint health, Mood improvement",All ages,Dinner,18.5,Underweight
"Turkey, roasted, with added solution, (light and dark), skin from whole",451,16,12,21,General nutrition,Adults,Other,27.45,Overweight
"Egg rolls, heated, refrigerated, pork",222,32,33,1,General nutrition,Old age,Breakfast,21.7,Normal weight
"Spices, ground, cinnamon",247,25,26,25,General nutrition,Children,Other,21.7,Normal weight
"Kale, without salt, drained, boiled, cooked, frozen",30,31,79,22,General nutrition,All ages,Other,18.5,Underweight
"Snacks, chocolate coated, with coconut, granola bar",531,29,70,3,General nutrition,Old age,Breakfast,27.45,Overweight
"Nuts, dried, butternuts",612,5,29,0,"Heart health, Weight management, Brain function",Old age,Snack,30.0,Obesity
"Beef, braised, cooked, select, trimmed to 0"" fat, separable lean and fat, boneless, under blade pot roast, chuck",288,2,93,8,General nutrition,All ages,Other,21.7,Normal weight
"Oil, non-dairy, used for whipped toppings, palm kernel (hydrogenated) , industrial",884,4,30,27,General nutrition,Adults,Other,30.0,Obesity
"Fast foods, and mayonnaise, lettuce, with cheese, bacon and tomato club sandwich, grilled chicken",220,17,18,25,General nutrition,Children,Lunch,21.7,Normal weight
"Pork, unheated, separable lean and fat, bone-in, slice, ham with natural juices, cured",159,31,98,13,General nutrition,Children,Other,18.5,Underweight
"McDONALD'S, McCHICKEN Sandwich (without mayonnaise)",240,1,16,24,General nutrition,Adults,Lunch,21.7,Normal weight
"Peanut butter, with salt, chunk style",589,7,14,4,General nutrition,All ages,Other,27.45,Overweight
"Brussels sprouts, raw",43,41,73,16,General nutrition,Old age,Other,18.5,Underweight
"Grapefruit juice, undiluted, unsweetened, frozen concentrate, white",146,8,36,14,General nutrition,Old age,Snack,18.5,Underweight
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean and fat, shoulder top and center steaks, shoulder clod, chuck",176,3,18,17,General nutrition,All ages,Dinner,18.5,Underweight
"Cereals, banana bread, Weight Control Instant Oatmeal, QUAKER",361,18,29,14,"Sustained energy, Digestive health, Blood sugar control",Adults,Breakfast,21.7,Normal weight
"Pigeonpeas, with salt, drained, boiled, cooked, immature seeds",111,34,41,7,General nutrition,Adults,Other,18.5,Underweight
"Soymilk (all flavors), vitamins A and D, with added calcium, unsweetened",33,27,21,1,General nutrition,Adults,Other,18.5,Underweight
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",196,20,85,14,General nutrition,All ages,Other,18.5,Underweight
"Scrapple, pork",213,10,45,13,General nutrition,Children,Other,21.7,Normal weight
"Babyfood, strained, dutch apple, dessert",75,13,5,10,General nutrition,Old age,Other,18.5,Underweight
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, bone-in, t-bone steak, short loin",212,20,97,5,General nutrition,Adults,Dinner,21.7,Normal weight
"Fruit juice smoothie, ORIGINAL SUPERFOOD, ODWALLA",50,49,28,13,"Antioxidant boost, Immune support, Skin health",All ages,Snack,18.5,Underweight
Nkatie Cake,240,9,30,10,High protein,good source of iron,Other,21.7,Normal weight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top sirloin",127,39,4,15,General nutrition,All ages,Dinner,18.5,Underweight
"SILK Plus Fiber, soymilk",41,43,45,18,General nutrition,All ages,Other,18.5,Underweight
"Cookies, Marie biscuit",406,34,48,6,General nutrition,All ages,Other,27.45,Overweight
"Orange juice, with added calcium, undiluted, unsweetened, frozen concentrate",147,0,45,21,General nutrition,Children,Other,18.5,Underweight
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean only, clod roast, chuck",172,43,72,0,General nutrition,All ages,Other,18.5,Underweight
"Beef, simmered, cooked, tongue, variety meats and by-products",284,40,50,20,General nutrition,All ages,Dinner,21.7,Normal weight
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, tenderloin",148,30,59,0,General nutrition,Children,Dinner,18.5,Underweight
"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, whole (arm and blade), shoulder, domestic",268,31,51,10,General nutrition,Children,Other,21.7,Normal weight
"Lamb, broiled, cooked, separable lean only, loin, frozen, imported, New Zealand",199,43,27,8,General nutrition,All ages,Other,18.5,Underweight
