Recommended Diet,Calories (kcal),Protein (g),Carbs (g),Fat (g),Vitamins,Meal Type,BMI,BMI Category,Minerals,Health Benefits,suitable_age_group,Health Condition
"Chewing gum, sugarless",268,41,86,9,"A, B, C",Breakfast,25.5,Overweight,"Magnesium, Calcium, Zinc",General nutrition,All ages,"Encephalitis, Cushing's Syndrome"
"Infant formula, ready-to-feed, with iron, ADVANCE, SIMILAC, ABBOTT NUTRITION",66,12,95,16,"A, D, C",Snacks,19.5,Normal weight,"Calcium, Zinc, Magnesium",General nutrition,All ages,"Schizophrenia, Rett Syndrome, Glaucoma"
"Babyfood, dry fortified, mixed, cereal",379,47,60,1,B,Breakfast,27.8,Overweight,"Magnesium, Zinc",General nutrition,Adults,"COPD, Irritable Bowel Syndrome"
"Blueberries, sweetened, dried",317,27,72,27,E,Others,28.0,Overweight,"Calcium, Magnesium, Zinc",General nutrition,Adults,"Chronic Fatigue Syndrome, Inflammatory Bowel Disease, Malnutrition"
"Beverages, powder, sweetened, lemon, instant, tea",401,5,25,23,"A, C",Others,23.7,Normal weight,Magnesium,General nutrition,Children,"Chronic Pain, Kidney Disease"
"MORNINGSTAR FARMS BBQ Riblets, unprepared, frozen",150,41,48,14,"A, B",Snacks,20.3,Normal weight,Iron,General nutrition,Children,Phenylketonuria
"Pie, peach",224,48,78,27,E,Breakfast,29.2,Overweight,"Iron, Magnesium",General nutrition,All ages,Schizophrenia
"Milk, without added vitamin A and vitamin D, regular, nonfat, dry",362,3,57,5,"D, E, B, A",Others,24.6,Normal weight,"Iron, Zinc",General nutrition,All ages,"Ovarian Cancer, Bulimia Nervosa, Arthritis"
"Sauce, ready-to-serve, canned, pizza",54,15,19,1,D,Snacks,16.1,Underweight,"Iron, Calcium",General nutrition,Adults,Schizophrenia
"Semolina, enriched",360,49,94,15,"B, C, E, D",Breakfast,28.1,Overweight,"Calcium, Zinc",General nutrition,Adults,Polycystic Ovary Syndrome (PCOS)
"Beef, pan-broiled, cooked, patty, 75% lean meat / 25% fat, ground",248,45,76,29,"B, C",Breakfast,28.2,Overweight,Calcium,General nutrition,Adults,"Polycystic Ovary Syndrome (PCOS), Pancreatitis, Thyroid Disorders"
"KELLOGG'S, Frosted Cinnamon Roll Toaster Pastries, POP-TARTS",416,37,30,12,B,Lunch,20.3,Normal weight,Iron,General nutrition,Old age,"Celiac Disease, Glycogen Storage Disease"
"Fast foods, with tartar sauce and cheese, fish sandwich",279,8,84,27,"E, A",Others,29.1,Overweight,"Calcium, Zinc",General nutrition,All ages,"Myeloma, Galactosemia, Acromegaly"
"Cereals ready-to-eat, Fruity CHEERIOS, GENERAL MILLS",381,42,97,18,E,Breakfast,26.0,Overweight,"Magnesium, Zinc, Iron","Antioxidant boost, Immune support, Skin health",Adults,"Multiple Sclerosis, Alzheimer's Disease, Sepsis"
"Sweet potato leaves, raw",42,7,37,8,"A, E",Snacks,17.7,Underweight,"Magnesium, Iron",General nutrition,All ages,Liver Disease
"Beef, grilled, cooked, choice, trimmed to 1/8"" fat, separable lean only, lip-on, boneless, rib eye steak",217,48,78,4,"E, B",Breakfast,29.6,Overweight,Zinc,General nutrition,Old age,Addison's Disease
"Beans, with beef, canned, baked",121,41,85,4,"C, B, E, D",Snacks,19.9,Normal weight,Iron,General nutrition,All ages,Alzheimer's Disease
"Beans, with salt, boiled, cooked, mature seeds, small white",142,19,77,22,"A, E, D, B",Snacks,27.7,Overweight,"Calcium, Magnesium",General nutrition,All ages,Cystic Fibrosis
"Winged beans, with salt, boiled, cooked, mature seeds",147,8,22,16,"E, A",Snacks,19.5,Normal weight,"Calcium, Zinc",General nutrition,Old age,"Bipolar Disorder, Encephalitis, Hemophilia"
"Fish, dry heat, cooked, pink, salmon",153,22,14,16,"C, A, B",Snacks,20.2,Normal weight,"Magnesium, Iron","Brain development, Joint health, Mood improvement",Old age,Cystitis
"Beans, home prepared, baked",155,24,91,7,"C, A",Snacks,20.1,Normal weight,"Iron, Zinc",General nutrition,Adults,"Binge Eating Disorder, Thalassemia, Cystinosis"
"Babyfood, strained, lamb, meat",87,39,34,25,"C, D",Snacks,29.5,Overweight,"Magnesium, Zinc, Calcium",General nutrition,Adults,"Wilson's Disease, Prader-Willi Syndrome"
"Beef, raw, kidneys, variety meats and by-products",99,13,54,24,"A, D, B, C",Snacks,21.6,Normal weight,"Calcium, Iron",General nutrition,Children,"Liver Disease, Polycystic Ovary Syndrome (PCOS)"
"Vitasoy USA, Vitasoy Organic Creamy Original Soymilk",44,48,26,22,C,Snacks,29.4,Overweight,"Magnesium, Iron",General nutrition,Adults,"Phenylketonuria, Hemochromatosis"
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, mock tender steak, chuck",220,13,64,22,"D, E, C, A",Others,22.1,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,Old age,Hemochromatosis
"Ice creams, Vanilla Fudge Twirl, No Sugar Added, BREYERS",153,44,16,17,E,Snacks,22.9,Normal weight,"Iron, Calcium, Magnesium",General nutrition,Adults,"Hemochromatosis, Zellweger Spectrum Disorder, Angelman Syndrome"
"Lasagna with meat sauce, prepared, frozen",135,22,89,1,"A, E, D, C",Snacks,22.5,Normal weight,Zinc,General nutrition,Children,"Hyperoxaluria, Mucopolysaccharidosis, Zellweger Spectrum Disorder"
"KEEBLER, Honey Wheat, Snack Sticks, CLUB Crackers",471,2,79,25,"E, A, C",Others,26.9,Overweight,Iron,General nutrition,Old age,Hemochromatosis
"Egg rolls, prepared, frozen, vegetable",214,35,51,9,"B, A, D",Breakfast,18.9,Normal weight,"Magnesium, Calcium, Iron",General nutrition,Old age,Seizure Disorders
"Buffalo, cooked (Shoshone Bannock), top round steak, free range",146,22,41,13,A,Snacks,23.4,Normal weight,"Iron, Magnesium",General nutrition,Children,"Chronic Pain, None, Tay-Sachs Disease"
"Chicken, braised, cooked, with added solution, meat only, boneless, skinless, breast, broiler or fryers",145,32,41,21,"E, C, D, B",Snacks,21.1,Normal weight,"Calcium, Zinc",General nutrition,All ages,Sleep Apnea
"Ravioli, canned, with tomato sauce or meat sauce, meat-filled",97,27,55,6,"E, A, C, D",Snacks,20.9,Normal weight,Calcium,General nutrition,Children,"Asthma, Neurofibromatosis, Hypoglycemia"
"Beef, braised, cooked, lungs, variety meats and by-products",120,26,85,18,"E, D",Snacks,27.9,Overweight,Zinc,General nutrition,All ages,Cystic Fibrosis
"Egg, scrambled, cooked, whole",149,14,77,15,A,Snacks,19.0,Normal weight,"Zinc, Calcium",General nutrition,Old age,COPD
"Candies, MILKY WAY Midnight Bar, MARS SNACKFOOD US",443,5,15,12,"C, D, A",Others,23.8,Normal weight,"Zinc, Calcium, Iron",General nutrition,Children,"Gout, Irritable Bowel Syndrome, Cystic Fibrosis"
"Pork, roasted, cooked, separable lean only, bone-in, blade (roasts), loin, fresh",217,28,6,23,D,Others,24.2,Normal weight,"Iron, Calcium",General nutrition,Adults,"Celiac Disease, Hyperoxaluria"
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, whole (shank and sirloin), leg, fresh, imported, Australian",244,48,12,2,"E, D, A, B",Others,24.3,Normal weight,Calcium,General nutrition,Adults,"Heart Disease, Hypothyroidism"
"Rennin, prepared with whole milk, dry mix, chocolate",96,34,69,0,"E, A",Snacks,18.7,Normal weight,Magnesium,General nutrition,Old age,"Celiac Disease, Multiple Sclerosis, Gaucher's Disease"
"Ice creams, light, vanilla",180,40,39,24,"C, D",Snacks,25.4,Overweight,"Magnesium, Calcium",General nutrition,Old age,Hemochromatosis
"SPAGHETTIOS, SpaghettiOs A to Z's",67,48,73,4,"B, A, D, C",Snacks,23.6,Normal weight,"Calcium, Zinc",General nutrition,Adults,Dementia
"Beef, pan-broiled, cooked, patty, 80% lean meat / 20% fat, ground",246,23,71,9,"E, B, A, C",Breakfast,20.0,Normal weight,"Magnesium, Iron",General nutrition,Children,Cystic Fibrosis
"Popcorn, made with palm oil, regular (butter) flavor, microwave",535,18,64,19,"A, D, B, C",Lunch,25.2,Overweight,"Magnesium, Calcium",General nutrition,Adults,"Ehlers-Danlos Syndrome, Prader-Willi Syndrome"
"Fast Foods, meat and skin with breading, Drumstick, Fried Chicken",267,11,22,23,"E, D, C",Others,21.7,Normal weight,Magnesium,General nutrition,All ages,"Ulcers, Myeloma"
"Beans, raw, sprouted, mature seeds, kidney",29,12,6,20,"D, B, A",Snacks,18.6,Normal weight,"Zinc, Magnesium",General nutrition,Adults,Polycystic Ovary Syndrome (PCOS)
"Pork, broiled, cooked, separable lean only, boneless, center rib (chops), loin, fresh",216,31,58,23,"E, A",Breakfast,25.0,Overweight,Magnesium,General nutrition,Old age,"Pelvic Inflammatory Disease, Leukemia"
"Veal, braised, cooked, separable lean only, whole (arm and blade), shoulder",199,37,39,8,C,Snacks,22.9,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,All ages,Endometriosis
"KEEBLER, soft, Oatmeal Raisin Cookie, BAKER'S TREASURES",420,37,95,6,"D, B, E",Lunch,26.7,Overweight,Magnesium,General nutrition,Old age,"Cataracts, Cystitis, Epilepsy"
"Ginger root, raw",80,35,32,20,C,Snacks,22.7,Normal weight,"Iron, Magnesium",General nutrition,All ages,"Hypothyroidism, High Cholesterol, Raynaud's Disease"
"McDONALD'S, Grilled, RANCH SNACK WRAP",222,0,95,0,"A, B, E, C",Others,22.4,Normal weight,Calcium,General nutrition,All ages,"Polycystic Ovary Syndrome (PCOS), High Cholesterol, Autism Spectrum Disorder"
"Snacks, unsalted, made with unenriched flour, plain, hard, pretzels",381,41,65,18,"A, C, D",Breakfast,26.2,Overweight,"Magnesium, Iron",General nutrition,Old age,"Lymphoma, Bulimia Nervosa"
"Chicken, simmered, cooked, giblets, capons",164,18,47,0,"C, A, D",Snacks,23.4,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Adults,"Osteoporosis, Fibromyalgia"
"Beef, grilled, cooked, select, trimmed to 1/8"" fat, separable lean and fat, porterhouse steak, short loin",263,7,12,29,"B, E",Others,19.1,Normal weight,"Iron, Magnesium",General nutrition,Adults,"Acromegaly, Glycogen Storage Disease"
"Snacks, corn cakes",387,48,20,13,"E, D, A",Others,28.1,Overweight,Calcium,General nutrition,Adults,"Phenylketonuria, Schizophrenia"
"Beverages, prepared with whole milk, powder, chocolate-flavor beverage mix",85,23,79,2,"B, C",Snacks,19.2,Normal weight,Zinc,General nutrition,Children,"Parkinson's Disease, Hepatitis, Canavan Disease"
"Beef, fast roasted, cooked, separable lean and fat, bolar blade, imported, New Zealand",228,36,27,18,A,Others,22.5,Normal weight,"Iron, Zinc, Calcium",General nutrition,Old age,Alzheimer's Disease
"PILLSBURY, refrigerated dough, Cinnamon Rolls with Icing",330,11,77,19,"D, A, E",Others,27.1,Overweight,"Iron, Zinc, Calcium",General nutrition,Old age,"Cystinosis, Ehlers-Danlos Syndrome, Fibromyalgia"
"Crustaceans, raw, alaska king, crab",84,44,59,9,"A, D, C",Snacks,21.4,Normal weight,"Calcium, Magnesium, Iron",General nutrition,Old age,"Fabry Disease, Anxiety, Alkaptonuria"
"Bread, egg",287,30,73,20,"D, A, B",Breakfast,25.0,Overweight,"Zinc, Iron",General nutrition,Old age,"None, Depression"
"Fish, dry heat, cooked, florida, pompano",211,31,47,20,"A, E, C, B",Breakfast,29.6,Overweight,Magnesium,"Brain development, Joint health, Mood improvement",All ages,"Obesity, Alkaptonuria, Arthritis"
"Cereals, dry, enriched, regular and quick, yellow, corn grits",368,38,65,12,D,Breakfast,29.1,Overweight,Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,Alzheimer's Disease
"Snacks, white corn, unsalted, tortilla chips",503,5,54,13,"C, E, D, A",Others,23.3,Normal weight,Zinc,General nutrition,All ages,"Ehlers-Danlos Syndrome, Galactosemia"
"Beef, raw, tripe, variety meats and by-products",85,48,30,23,"E, D",Snacks,28.1,Overweight,Calcium,General nutrition,Adults,"Epilepsy, Rett Syndrome"
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",128,3,90,12,E,Snacks,18.8,Normal weight,"Magnesium, Calcium, Zinc",General nutrition,All ages,"Hypoglycemia, Sepsis"
"Chicken, roasted, cooked, meat and skin, cornish game hens",259,9,76,9,"A, D, B",Others,21.5,Normal weight,"Iron, Magnesium, Zinc",General nutrition,Children,Sepsis
"Frozen novelties, juice with cream, juice type",115,31,51,24,"A, D, B, C",Snacks,25.6,Overweight,Magnesium,General nutrition,All ages,"Alkaptonuria, Eating Disorders"
"Fish, raw, mixed species, whiting",90,21,19,28,"E, A",Snacks,22.0,Normal weight,Magnesium,"Brain development, Joint health, Mood improvement",Adults,"Pelvic Inflammatory Disease, Galactosemia"
"Margarine-like spread with yogurt, with salt, tub, approximately 40% fat",330,31,64,2,"A, C",Breakfast,20.2,Normal weight,Calcium,General nutrition,All ages,"Alzheimer's Disease, Irritable Bowel Syndrome"
"Formulated bar, Chocolate Blueberry Snack Bar, COCOAVIA, MARS SNACKFOOD US",325,9,85,15,D,Others,22.0,Normal weight,Magnesium,General nutrition,All ages,Fabry Disease
"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean only, rib, domestic",232,40,48,18,"D, B, E, C",Breakfast,29.2,Overweight,"Calcium, Zinc",General nutrition,Children,Raynaud's Disease
"Peanuts, without salt, oil-roasted, valencia",589,27,85,18,A,Lunch,26.5,Overweight,"Calcium, Magnesium",General nutrition,Adults,"Psoriasis, Tuberculosis, High Cholesterol"
"Oil, filling fat, palm kernel (hydrogenated), industrial",884,36,92,24,B,Dinner,36.6,Obesity,"Calcium, Iron",General nutrition,Old age,Maple Syrup Urine Disease
"Game meat, roasted, cooked, opossum",221,2,21,26,"C, B, A, D",Others,20.2,Normal weight,"Iron, Calcium, Zinc",General nutrition,Adults,Liver Disease
"Sweet potato, drained solids, syrup pack, canned",108,41,73,17,"E, A, D",Snacks,28.2,Overweight,"Magnesium, Calcium, Iron",General nutrition,Adults,"Hepatitis, None, Gaucher's Disease"
Red Red,380,12,50,15,E,Others,19.8,Normal weight,Calcium,High fiber,protein-rich,General
"Salad dressing, regular, ranch dressing",430,47,1,14,"B, D, C, E",Lunch,24.5,Normal weight,"Calcium, Iron",General nutrition,Old age,"Binge Eating Disorder, Hemochromatosis, Rett Syndrome"
"Turnip greens and turnips, without salt, drained, boiled, cooked, frozen",35,9,28,20,E,Snacks,22.0,Normal weight,"Iron, Calcium, Zinc",General nutrition,Adults,"Maple Syrup Urine Disease, Hyperglycemia, Chronic Fatigue Syndrome"
"Fast foods, with egg and cheese, croissant",304,37,36,28,"D, A, C, B",Others,25.7,Overweight,"Zinc, Iron, Magnesium",General nutrition,All ages,Diverticulitis
"KASHI Pizza, unprepared, frozen, single serve, Mushroom and Spinach",229,25,1,15,A,Others,24.4,Normal weight,"Calcium, Iron, Magnesium",General nutrition,Children,"Lung Cancer, Crohn's Disease, Gaucher's Disease"
"Turkey, roasted, with added solution, meat only, from whole bird, breast",127,16,61,7,"A, E, B",Snacks,21.1,Normal weight,Zinc,General nutrition,All ages,Ulcerative Colitis
"Millet, puffed",354,23,97,11,E,Breakfast,25.6,Overweight,"Calcium, Zinc, Iron",General nutrition,Adults,"Sepsis, Arthritis"
"Pork, unheated, separable lean only, bone-in, shank, ham with natural juices, cured",130,15,93,7,C,Snacks,23.9,Normal weight,"Zinc, Magnesium, Iron",General nutrition,All ages,"GERD, Hypoglycemia"
"Egg, raw, fresh, whole, turkey",171,49,20,21,"C, E, A",Snacks,29.1,Overweight,Zinc,General nutrition,Old age,"Leukemia, Celiac Disease, Wilson's Disease"
"Fish, raw, scup",105,18,19,10,"B, D, E",Snacks,23.2,Normal weight,"Calcium, Iron, Zinc","Brain development, Joint health, Mood improvement",All ages,Gallstones
"Soup, prepared with equal volume water, canned, vegetable with beef broth",33,29,17,5,"E, B",Snacks,18.1,Underweight,"Zinc, Iron, Calcium",General nutrition,Old age,"Alzheimer's Disease, Leigh Syndrome, Thalassemia"
"MORNINGSTAR FARMS Breakfast Sandwich Veggie Sausage Egg & Cheese English Muffin, unprepared, frozen",205,23,60,25,E,Others,28.1,Overweight,Magnesium,General nutrition,Adults,Hypoglycemia
"Potatoes, unprepared, frozen, salt added in processing, roasted, yellow fleshed",119,13,2,18,"B, C, E, D",Snacks,21.1,Normal weight,Calcium,General nutrition,Children,Multiple Sclerosis
"Drumstick leaves, without salt, drained, boiled, cooked",60,11,82,4,C,Snacks,23.0,Normal weight,Zinc,General nutrition,Adults,"Cystinosis, Osteoporosis"
"Pork, raw, belly, fresh",518,19,78,16,D,Lunch,27.0,Overweight,"Zinc, Calcium",General nutrition,Children,"Fabry Disease, Autism Spectrum Disorder, Bulimia Nervosa"
"Crustaceans, raw, mixed species, spiny lobster",112,10,27,5,"C, B, A, E",Snacks,18.0,Underweight,"Magnesium, Calcium, Zinc",General nutrition,Old age,"Anxiety, Tay-Sachs Disease, Fabry Disease"
"CAMPBELL'S Soup on the Go, Creamy Tomato Soup",59,19,7,17,"D, E, A, C",Snacks,18.8,Normal weight,"Iron, Calcium",General nutrition,Old age,"Arthritis, Sleep Apnea, Marfan Syndrome"
"KELLOGG'S, Frosted Sugar Cookie Toaster Pastries, POP-TARTS",393,8,10,15,"D, A, B, C",Others,24.2,Normal weight,"Iron, Magnesium",General nutrition,Old age,Ornithine Transcarbamylase Deficiency
"SUNSHINE, Extra Cheesy Party Mix, 100 Calorie RIGHT BITES, CHEEZ-IT",473,15,58,1,"D, C, B, E",Others,23.4,Normal weight,"Zinc, Iron, Calcium",General nutrition,Children,"Asthma, Rett Syndrome, Psoriasis"
"Beef, boiled, cooked, sweetbread, imported, New Zealand",318,47,48,13,"D, C, E, A",Breakfast,29.4,Overweight,Iron,General nutrition,Children,Seizure Disorders
"MURRAY, Honey Graham",445,13,10,25,"E, A, C, B",Others,20.3,Normal weight,"Calcium, Iron, Zinc",General nutrition,All ages,"Chronic Pain, Hypoglycemia, Scleroderma"
"Snacks, plain, chips, extruded, corn-based",538,39,90,25,"B, C, A",Lunch,33.3,Obesity,"Iron, Magnesium",General nutrition,Old age,Attention Deficit Hyperactivity Disorder (ADHD)
"SUNSHINE, Reduced Fat Crackers, CHEEZ-IT",449,23,7,4,"D, B, A, C",Lunch,19.9,Normal weight,"Zinc, Magnesium",General nutrition,Old age,"Cystic Fibrosis, Diabetes, Seizure Disorders"
"Muffins, toaster-type, blueberry",313,37,35,19,C,Others,27.9,Overweight,"Zinc, Magnesium, Iron",General nutrition,Children,Hemochromatosis
"Kale, without salt, drained, boiled, cooked",28,25,52,17,"D, B, E",Snacks,21.5,Normal weight,Iron,General nutrition,Old age,"Tay-Sachs Disease, Hepatitis, Breast Cancer"
"Margarine-like, with salt, tub, 60% fat, vegetable oil spread",533,13,74,8,E,Others,22.1,Normal weight,Iron,General nutrition,All ages,"Osteoporosis, Gaucher's Disease"
"Ostrich, raw, round",116,37,24,19,B,Snacks,20.4,Normal weight,Calcium,General nutrition,Old age,"Seizure Disorders, Eating Disorders"
"SUNSHINE, Crackers (made with Whole Grain), CHEEZ-IT",511,9,52,10,A,Others,20.1,Normal weight,"Iron, Zinc, Calcium","Sustained energy, Digestive health, Blood sugar control",Children,"Ehlers-Danlos Syndrome, Hyperthyroidism"
"Cauliflower, with salt, drained, boiled, cooked",23,31,38,16,"A, C, E, D",Snacks,21.0,Normal weight,"Calcium, Zinc",General nutrition,All ages,"Cataracts, Glaucoma"
"WORTHINGTON Stripples, unprepared, frozen",346,22,14,10,A,Others,19.8,Normal weight,"Iron, Zinc, Calcium",General nutrition,Old age,"Osteoporosis, Liver Disease, Thalassemia"
"Pie, commercially prepared, pecan",407,1,3,20,"B, A, D, E",Others,20.3,Normal weight,"Iron, Zinc, Calcium",General nutrition,Old age,"Cancer, Meningitis, Seizure Disorders"
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, arm, shoulder, domestic",132,9,71,22,"A, D, E",Snacks,20.3,Normal weight,Zinc,General nutrition,Children,"Encephalitis, Gout"
"Beef, roasted, cooked, choice, trimmed to 0"" fat, separable lean and fat, roast, bottom round, round",199,33,9,0,"C, A, D",Snacks,16.5,Underweight,Iron,General nutrition,Adults,"Eating Disorders, Chronic Fatigue Syndrome"
"KEEBLER, Iced Cookies, ANIMALS",459,13,4,13,D,Others,23.2,Normal weight,"Iron, Magnesium, Calcium",General nutrition,Old age,"Multiple Sclerosis, Attention Deficit Hyperactivity Disorder (ADHD)"
