food_name,serving_size (g),calories (kcal),protein (g),carbohydrates (g),fats(g),vitamins,minerals,health_benefits,suitable_age_group,health_condition_considerations
Ice cream sandwich,100.0,237.0,15.0,63.0,23.0,"B, E, C, A",Calcium,General nutrition,Children,Marfan Syndrome
"Pork, roasted, heated, separable lean only, bone-in, shank, ham -- water added, cured",100.0,128.0,42.0,19.0,9.0,"B, D",Zinc,General nutrition,Children,Prostate Cancer
"KELLOGG'S, Pumpkin Spice, Waffles, EGGO Seasons",100.0,296.0,4.0,13.0,27.0,"E, D, C",Zinc,General nutrition,Adults,"Galactosemia, Congenital Heart Disease"
"Fast foods, plain, hotdog",100.0,247.0,34.0,0.0,25.0,"B, E","Iron, Calcium, Zinc",General nutrition,Children,"Raynaud's Disease, Liver Disease"
"Lamb, braised, cooked, brain, variety meats and by-products",100.0,145.0,35.0,88.0,28.0,"D, A, E, C",Magnesium,General nutrition,Adults,"Epilepsy, Angelman Syndrome, Cancer"
"Snacks, nonfat, fruit-filled, granola bar",100.0,342.0,24.0,81.0,8.0,"C, A, B",Iron,General nutrition,Children,"Thalassemia, Psoriasis"
"Cereals ready-to-eat, CAP'N CRUNCH'S Halloween Crunch, QUAKER",100.0,402.0,1.0,63.0,17.0,"D, C",Iron,"Sustained energy, Digestive health, Blood sugar control",All ages,"Food Allergies, Leigh Syndrome, Thalassemia"
"Asparagus, drained solids, canned",100.0,19.0,40.0,42.0,10.0,"C, E, B","Calcium, Magnesium, Zinc",General nutrition,Children,"Heart Disease, Sleep Apnea, Ulcerative Colitis"
"Fast foods, large patty; with condiments and vegetables, hamburger; double",100.0,239.0,12.0,3.0,1.0,"D, C, A, E",Magnesium,General nutrition,Adults,"Osteoporosis, Diverticulitis"
"Babyfood, strained, turkey and rice, dinner",100.0,52.0,5.0,43.0,3.0,"C, D, E","Magnesium, Calcium",General nutrition,Adults,High Cholesterol
"MOTHER'S, Iced Oatmeal Cookies",100.0,463.0,31.0,48.0,18.0,"D, C",Calcium,General nutrition,Adults,"Leigh Syndrome, Pancreatitis, HIV/AIDS"
"Spices, fennel seed",100.0,345.0,11.0,65.0,9.0,"E, D, C","Calcium, Zinc, Magnesium",General nutrition,All ages,Dementia
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, whole, brisket",100.0,218.0,6.0,44.0,0.0,"E, A",Zinc,General nutrition,All ages,"Endometriosis, Schizophrenia"
"Babyfood, strained, banana apple dessert",100.0,68.0,15.0,76.0,4.0,D,"Magnesium, Calcium",General nutrition,Old age,"GERD, Dementia"
"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",100.0,400.0,20.0,66.0,25.0,"D, E",Zinc,"Sustained energy, Digestive health, Blood sugar control",Old age,"Seizure Disorders, Binge Eating Disorder, Chronic Pain"
"DIGIORNO Pizza, baked, frozen, thin crispy crust, supreme topping",100.0,255.0,46.0,87.0,11.0,A,Calcium,General nutrition,Adults,"Schizophrenia, Hypothyroidism, Crohn's Disease"
"Toaster Pastries, Frosted chocolate fudge, KELLOGG'S POP TARTS, KELLOGG",100.0,384.0,48.0,2.0,19.0,B,"Calcium, Iron, Zinc",General nutrition,Adults,"Meningitis, Bipolar Disorder"
"Pork, roasted, cooked, boneless, separable lean only, country-style ribs, loin, fresh",100.0,219.0,9.0,51.0,5.0,C,"Calcium, Magnesium",General nutrition,All ages,"Psoriasis, Fibromyalgia"
"Soup, prepared with equal volume water, canned, vegetarian vegetable",100.0,28.0,48.0,85.0,12.0,"D, C, B","Calcium, Zinc",General nutrition,Adults,Depression
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,100.0,222.0,12.0,68.0,25.0,"D, C",Calcium,General nutrition,Children,"Lactose Intolerance, Hyperglycemia"
"Infant formula, liquid concentrate, with iron, ISOMIL, SIMILAC, ABBOTT NUTRITION",100.0,128.0,0.0,77.0,16.0,"B, A","Zinc, Iron",General nutrition,All ages,Hemochromatosis
"KEEBLER, Minis Original Crackers, CLUB",100.0,479.0,41.0,13.0,0.0,D,"Magnesium, Calcium, Iron",General nutrition,Children,Hyperthyroidism
"Cheese, soft type, goat",100.0,264.0,3.0,20.0,16.0,"D, E","Zinc, Calcium, Magnesium",General nutrition,Children,"Sepsis, Hemochromatosis"
"Lamb, raw, choice, trimmed to 1/4"" fat, separable fat, composite of trimmed retail cuts, domestic",100.0,665.0,37.0,21.0,25.0,E,"Zinc, Iron, Calcium",General nutrition,All ages,Schizophrenia
"Babyfood, strained, peas, vegetables",100.0,50.0,40.0,41.0,26.0,"E, B, A","Magnesium, Calcium, Iron",General nutrition,Children,"Anxiety, Ehlers-Danlos Syndrome"
"Formulated bar, mixed flavors, ZONE PERFECT CLASSIC CRUNCH BAR",100.0,422.0,29.0,17.0,7.0,"A, C, D",Magnesium,General nutrition,Adults,"Gaucher's Disease, Hemophilia, Myeloma"
"Chicken, stewed, cooked, meat only, wing, broilers or fryers",100.0,181.0,12.0,67.0,18.0,"E, C, B, D",Calcium,General nutrition,Adults,"Hemochromatosis, Phenylketonuria"
"Pork, roasted, canned, extra lean and regular, ham, cured",100.0,167.0,41.0,16.0,17.0,"B, E, D, C",Zinc,General nutrition,Old age,"Asthma, Polycystic Ovary Syndrome (PCOS)"
"Sweet rolls, refrigerated dough with frosting, cinnamon",100.0,333.0,21.0,93.0,8.0,B,"Magnesium, Zinc, Iron",General nutrition,Children,"Pancreatitis, Diverticulitis, Raynaud's Disease"
"Cookies, coconut macaroon",100.0,460.0,48.0,67.0,6.0,"B, C","Iron, Calcium, Zinc",General nutrition,Old age,"Gaucher's Disease, Eating Disorders, Ehlers-Danlos Syndrome"
"Wheat flour, whole-grain",100.0,340.0,41.0,17.0,8.0,"B, E, D","Magnesium, Zinc, Iron",General nutrition,Children,Raynaud's Disease
"Babyfood, prepared with whole milk, with bananas, oatmeal, cereal",100.0,86.0,46.0,28.0,29.0,"D, A","Magnesium, Iron",General nutrition,Children,Scleroderma
"Tomato products, with tomato tidbits, sauce, canned",100.0,32.0,28.0,3.0,28.0,"A, C, D, E","Magnesium, Zinc",General nutrition,All ages,"Arthritis, Rett Syndrome"
"Veal, roasted, cooked, separable lean and fat, leg (top round)",100.0,160.0,31.0,72.0,22.0,"D, E, A","Zinc, Iron, Calcium",General nutrition,Children,"Epilepsy, Prostate Cancer"
"Babyfood, junior, chicken, meat",100.0,146.0,1.0,71.0,1.0,"B, D, A, C","Calcium, Iron",General nutrition,Old age,Ovarian Cancer
"Beans, raw, mature seeds, black turtle",100.0,339.0,21.0,73.0,22.0,C,Calcium,General nutrition,Children,"Heart Disease, Gout"
"DOMINO'S 14"" Pepperoni Pizza, Crunchy Thin Crust",100.0,328.0,5.0,66.0,8.0,C,"Magnesium, Iron",General nutrition,Adults,"Chronic Pain, Fabry Disease, Tuberculosis"
"Egg, fresh, raw, whole",100.0,143.0,43.0,17.0,6.0,"B, C",Magnesium,General nutrition,Old age,"Cataracts, Diverticulitis, Mucopolysaccharidosis"
"Babyfood, chicken and rice, dinner",100.0,51.0,20.0,55.0,2.0,"C, D, A, E","Magnesium, Iron, Calcium",General nutrition,Adults,"Food Allergies, Hypertension"
"KELLOGG'S, Frosted Pumpkin Pie Toaster Pastries, POP-TARTS",100.0,394.0,49.0,43.0,5.0,"B, D, A",Iron,General nutrition,All ages,"Anemia, Inflammatory Bowel Disease"
Wakye with Spaghetti,100.0,380.0,14.0,60.0,12.0,C,Magnesium,High protein,rich in vitamins,General
"Nuts, raw (liquid expressed from grated meat and water), coconut milk",100.0,230.0,40.0,2.0,3.0,"A, C, D, E",Iron,"Heart health, Weight management, Brain function",All ages,"Meningitis, Anorexia Nervosa, Myeloma"
"Oil, fully hydrogenated, cottonseed, industrial",100.0,884.0,1.0,4.0,2.0,"E, D",Magnesium,General nutrition,All ages,Leigh Syndrome
"Beans, raw, mature seeds, all types, kidney",100.0,333.0,25.0,75.0,20.0,E,"Iron, Calcium",General nutrition,Children,"Crohn's Disease, Diverticulitis, Attention Deficit Hyperactivity Disorder (ADHD)"
"Buckwheat groats, dry, roasted",100.0,346.0,49.0,69.0,7.0,"C, D","Zinc, Iron",General nutrition,Adults,Cystitis
"Cake, sponge, creme-filled, snack cakes",100.0,374.0,22.0,72.0,25.0,"B, E, D","Zinc, Magnesium, Calcium",General nutrition,Adults,"Sepsis, Seizure Disorders"
"Shortening industrial, soybean (hydrogenated) and cottonseed",100.0,884.0,24.0,4.0,27.0,A,"Iron, Magnesium",General nutrition,Adults,"Depression, Polycystic Ovary Syndrome (PCOS), Sickle Cell Anemia"
"Muffins, commercially prepared, corn",100.0,305.0,48.0,87.0,29.0,"C, A",Magnesium,General nutrition,Adults,"Arthritis, Asthma, Wilson's Disease"
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean only, bone-in, frenched, roast, rack, fresh, imported, Australian",100.0,244.0,29.0,45.0,25.0,"A, E",Calcium,General nutrition,Old age,"Diverticulitis, Bulimia Nervosa, Acromegaly"
"Pork, roasted, regular (approximately 11% fat), boneless, ham, cured",100.0,178.0,42.0,23.0,21.0,"D, B, A",Zinc,General nutrition,All ages,"Hypothyroidism, Schizophrenia, Fibromyalgia"
"Crackers, with cheese filling, sandwich, wheat",100.0,497.0,39.0,9.0,3.0,C,Iron,General nutrition,Adults,Attention Deficit Hyperactivity Disorder (ADHD)
"Dessert topping, frozen, semi solid",100.0,318.0,8.0,96.0,20.0,"C, A, D, E","Iron, Magnesium, Calcium",General nutrition,Children,Osteoporosis
"Bread, toasted, oat bran",100.0,259.0,29.0,66.0,12.0,"C, A, B","Calcium, Iron",General nutrition,Children,"Endometriosis, Addison's Disease"
"WORTHINGTON Low Fat Veja-Links, unprepared, canned",100.0,123.0,6.0,48.0,18.0,E,"Iron, Calcium, Magnesium",General nutrition,Old age,Gout
"Beef, cooked, all grades, trimmed to 0"" fat, separable lean only, composite of trimmed retail cuts",100.0,203.0,35.0,30.0,17.0,"C, A, D",Iron,General nutrition,All ages,Skin Cancer
"Snacks, without peanuts, caramel-coated, popcorn",100.0,431.0,22.0,66.0,10.0,"D, A, B","Iron, Calcium, Zinc",General nutrition,Adults,Ulcerative Colitis
"Jellyfish, salted, dried",100.0,36.0,41.0,92.0,9.0,"B, C, D, A","Magnesium, Calcium",General nutrition,Adults,Celiac Disease
"CRACKER BARREL, fried, chicken tenderloin platter",100.0,293.0,6.0,8.0,20.0,"A, B","Iron, Calcium",General nutrition,Adults,"Alzheimer's Disease, Thyroid Disorders, Eczema"
"Fish, raw, sheepshead",100.0,108.0,41.0,65.0,20.0,"B, C, A, D","Zinc, Iron","Brain development, Joint health, Mood improvement",All ages,Wilson's Disease
"Candies, MARS Almond Bar, MARS SNACKFOOD US",100.0,467.0,0.0,78.0,11.0,"A, C, D, B","Magnesium, Iron, Calcium",General nutrition,Children,Mucopolysaccharidosis
"SUNSHINE, Cheddar Jack Crackers, CHEEZ-IT",100.0,460.0,41.0,41.0,28.0,D,"Calcium, Magnesium, Zinc",General nutrition,Old age,"Sickle Cell Anemia, Prostate Cancer, Canavan Disease"
"Sauce, medium, white, homemade",100.0,147.0,43.0,72.0,19.0,"C, A",Iron,General nutrition,Adults,Macular Degeneration
"Oil, rice bran",100.0,884.0,6.0,22.0,13.0,"C, B, A",Calcium,General nutrition,All ages,Cataracts
"Babyfood, junior, tutti frutti, fruit",100.0,69.0,49.0,60.0,6.0,B,"Zinc, Magnesium",General nutrition,Children,"Food Allergies, Polycystic Ovary Syndrome (PCOS)"
"Cheese, whole milk, ricotta",100.0,174.0,19.0,13.0,25.0,A,Magnesium,General nutrition,All ages,"Hyperthyroidism, Rett Syndrome"
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, bone-in, back ribs, rib",100.0,252.0,38.0,17.0,24.0,D,"Zinc, Magnesium",General nutrition,All ages,"Pelvic Inflammatory Disease, Crohn's Disease, Alkaptonuria"
"Corn, raw, yellow, sweet",100.0,86.0,35.0,54.0,10.0,"D, E","Iron, Calcium",General nutrition,Adults,"Gout, Neurofibromatosis"
"Veal, raw, separable lean only, shank (fore and hind)",100.0,108.0,18.0,71.0,2.0,"A, B","Iron, Zinc",General nutrition,Old age,"Sepsis, Macular Degeneration, Hyperoxaluria"
"Dip, original flavor, bean, FRITO'S",100.0,119.0,11.0,24.0,7.0,"E, D",Calcium,General nutrition,All ages,"Pelvic Inflammatory Disease, Systemic Lupus Erythematosus"
"Seeds, with salt added (decorticated), toasted, sesame seed kernels",100.0,567.0,17.0,72.0,8.0,A,Magnesium,"Heart health, Weight management, Brain function",All ages,"Angelman Syndrome, Chronic Fatigue Syndrome"
"Bread crumbs, plain, grated, dry",100.0,395.0,15.0,47.0,14.0,"D, C, E",Calcium,General nutrition,All ages,Celiac Disease
"Potatoes, home-prepared from recipe using margarine, au gratin",100.0,132.0,25.0,8.0,4.0,"B, D, A, E","Iron, Zinc",General nutrition,Old age,Asthma
"Peanut butter, with salt, smooth style",100.0,598.0,11.0,49.0,7.0,D,"Zinc, Calcium",General nutrition,All ages,"Alzheimer's Disease, Celiac Disease"
"Mortadella, pork, beef",100.0,311.0,5.0,49.0,27.0,"E, A, B","Magnesium, Calcium, Zinc",General nutrition,Old age,Lymphoma
"KASHI, Frozen Entree, Red Curry Chicken",100.0,110.0,18.0,33.0,19.0,"D, A",Magnesium,General nutrition,Old age,"Diabetes, Chronic Fatigue Syndrome, GERD"
"Noodles, cooked, enriched, egg",100.0,138.0,17.0,4.0,20.0,E,"Calcium, Magnesium, Iron",General nutrition,Children,Alkaptonuria
"Asparagus, unprepared, frozen",100.0,24.0,20.0,51.0,17.0,"C, B, E, D",Calcium,General nutrition,All ages,Ulcerative Colitis
"Dandelion greens, without salt, drained, boiled, cooked",100.0,33.0,8.0,26.0,12.0,"C, E, A, B",Calcium,General nutrition,Old age,"Ulcers, Ulcerative Colitis, Sepsis"
"Lamb, grilled, cooked, trimmed to 0"" fat, separable lean and fat, bone-in, denuded, frenched, rib chop, fresh, imported, Australian",100.0,276.0,40.0,65.0,25.0,"C, D, B, A","Zinc, Iron, Calcium",General nutrition,Children,"Binge Eating Disorder, Multiple Sclerosis"
"Lamb, raw, Intermuscular fat, imported, New Zealand",100.0,640.0,46.0,65.0,13.0,"A, B","Calcium, Magnesium",General nutrition,Children,"Liver Disease, Acromegaly, Hepatitis"
"Nuts, almonds",100.0,579.0,17.0,53.0,5.0,D,"Iron, Zinc, Magnesium","Heart health, Weight management, Brain function",Adults,Pelvic Inflammatory Disease
"Cookies, higher fat, vanilla wafers",100.0,455.0,9.0,66.0,5.0,E,"Magnesium, Iron",General nutrition,Children,"Ulcers, Angelman Syndrome"
"OSCAR MAYER, Ham (chopped with natural juice)",100.0,180.0,35.0,92.0,25.0,D,Iron,General nutrition,All ages,Lymphoma
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",100.0,200.0,29.0,32.0,16.0,D,"Magnesium, Zinc, Calcium",General nutrition,Adults,Congenital Heart Disease
"Beans, no salt added, canned, baked",100.0,105.0,39.0,42.0,5.0,B,"Calcium, Iron",General nutrition,Children,Scleroderma
Ice cream cookie sandwich,100.0,240.0,47.0,70.0,8.0,E,"Calcium, Magnesium",General nutrition,All ages,"Diabetes, Chronic Pain, Wilson's Disease"
"Seaweed, dried, spirulina",100.0,290.0,7.0,37.0,13.0,"D, C","Calcium, Zinc, Iron",General nutrition,All ages,"Dementia, Schizophrenia"
"Fast foods, soft, cheese and lettuce, taco with beef",100.0,206.0,26.0,23.0,27.0,B,Magnesium,General nutrition,Old age,Hyperthyroidism
"Lamb, braised, cooked, separable lean only, fore-shank, imported, New Zealand",100.0,209.0,32.0,30.0,4.0,"E, A, D","Zinc, Magnesium, Iron",General nutrition,Children,"Chronic Pain, Hypertension, Ulcers"
"Beef, grilled, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round steak, round",100.0,162.0,37.0,74.0,19.0,B,"Zinc, Iron",General nutrition,Adults,"Lactose Intolerance, Dementia"
"Beef, baked, cooked, loaf, 93% lean meat / 7% fat, ground",100.0,192.0,27.0,97.0,14.0,"E, A","Magnesium, Zinc, Calcium",General nutrition,Old age,"Polycystic Ovary Syndrome (PCOS), Thalassemia, Myeloma"
"Formulated bar, NUTZ OVER CHOCOLATE, LUNA BAR",100.0,403.0,24.0,52.0,14.0,"B, D, E",Calcium,General nutrition,Adults,"Sjogren's Syndrome, Skin Cancer, Congenital Heart Disease"
"Cereals ready-to-eat, FAMILIA",100.0,388.0,15.0,81.0,8.0,"A, D, B, E",Calcium,"Sustained energy, Digestive health, Blood sugar control",Adults,Bipolar Disorder
"MOTHER'S, Taffy Sandwich Cookies",100.0,475.0,2.0,25.0,12.0,"D, E, A","Iron, Magnesium, Calcium",General nutrition,All ages,"Bulimia Nervosa, Ulcers, Crohn's Disease"
"Turkey breast, prepackaged, sliced",100.0,100.0,14.0,44.0,17.0,"B, D","Iron, Calcium",General nutrition,Adults,"Eating Disorders, Cushing's Syndrome, Food Allergies"
"Piki bread, made from blue cornmeal (Hopi)",100.0,390.0,16.0,33.0,19.0,D,"Calcium, Magnesium",General nutrition,Old age,Endometriosis
"Beverages, prepared with whole milk, chocolate syrup",100.0,90.0,27.0,51.0,16.0,"D, A, B, E","Magnesium, Iron, Zinc",General nutrition,All ages,"Lung Cancer, None, Binge Eating Disorder"
"Babyfood, strained, chicken soup, dinner",100.0,50.0,34.0,88.0,18.0,"E, A, B, D",Iron,General nutrition,Old age,Alzheimer's Disease
"Beef, grilled, cooked, select, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",100.0,149.0,10.0,92.0,20.0,B,"Magnesium, Zinc, Calcium",General nutrition,All ages,"Ovarian Cancer, Diverticulitis"
Barley malt flour,100.0,361.0,3.0,20.0,25.0,"E, A","Iron, Calcium",General nutrition,Old age,"Kidney Disease, Epilepsy"
"Cereals, with salt, cooked with water, WHEATENA",100.0,59.0,29.0,42.0,29.0,"A, B, C, E","Magnesium, Iron, Zinc","Sustained energy, Digestive health, Blood sugar control",Old age,"Wilson's Disease, Chronic Pain, Schizophrenia"
"Soup, prepared with equal volume water, canned, split with ham, pea",100.0,75.0,35.0,30.0,24.0,"B, E",Magnesium,General nutrition,Adults,"Psoriasis, Gaucher's Disease"
"Pork, roasted, separable lean and fat, blade roll, shoulder, cured",100.0,287.0,40.0,56.0,1.0,C,"Magnesium, Zinc, Iron",General nutrition,All ages,"Cataracts, Autism Spectrum Disorder"
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",100.0,210.0,19.0,27.0,28.0,"E, A, B","Calcium, Iron",General nutrition,All ages,"Fibromyalgia, Glaucoma"
"PREGO Pasta, ready-to-serve, Diced Onion and Garlic Italian Sauce",100.0,92.0,3.0,72.0,8.0,"D, E, C",Calcium,General nutrition,All ages,"Depression, Thyroid Disorders"
"SUBWAY, tomato and sweet onion sauce, sweet onion chicken teriyaki sub on white bread with lettuce",100.0,155.0,14.0,58.0,24.0,C,Calcium,General nutrition,All ages,"Celiac Disease, Addison's Disease"
"Peppers, sun-dried, hot chile",100.0,324.0,29.0,62.0,17.0,"E, A, B","Iron, Zinc",General nutrition,Adults,"Seizure Disorders, Dementia, Hemophilia"
"Luncheon sausage, pork and beef",100.0,260.0,28.0,74.0,0.0,"A, C, B","Calcium, Iron",General nutrition,Children,"Hyperthyroidism, Eating Disorders, Raynaud's Disease"
"Babyfood, strained, banana pudding, dessert",100.0,68.0,39.0,9.0,1.0,"D, E, B, C",Magnesium,General nutrition,Adults,Alkaptonuria
Asana (Groundnut Drink),100.0,200.0,5.0,30.0,8.0,D,Magnesium,Energy boost,rich in protein,General
Bambara Beans Stew,100.0,370.0,14.0,60.0,8.0,C,Magnesium,High protein and fiber,General,Fiber needs
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, composite of trimmed retail cuts, domestic",100.0,134.0,33.0,68.0,4.0,D,Zinc,General nutrition,Children,Wilson's Disease
"Turkey, raw, with added solution, skin from whole (light and dark)",100.0,381.0,25.0,37.0,29.0,"E, C, D, B","Zinc, Magnesium, Iron",General nutrition,Children,Dementia
"Chicken, meat only, drumstick, BBQ, rotisserie, broiler",100.0,172.0,25.0,51.0,8.0,"E, C",Zinc,General nutrition,Children,Hypoglycemia
"Fish, raw, european, turbot",100.0,95.0,40.0,63.0,21.0,"D, A",Zinc,"Brain development, Joint health, Mood improvement",Children,Ulcers
"Lamb, broiled, cooked, choice, trimmed to 1/8"" fat, separable lean and fat, blade, shoulder, domestic",100.0,267.0,8.0,10.0,1.0,"A, E",Magnesium,General nutrition,Children,"Bipolar Disorder, COPD"
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, steak, top round, round",100.0,129.0,42.0,44.0,12.0,"C, B","Magnesium, Calcium, Iron",General nutrition,Old age,"Gaucher's Disease, Bipolar Disorder"
"Cheese, part skim milk, mozzarella",100.0,254.0,9.0,96.0,9.0,A,Magnesium,General nutrition,Adults,Rett Syndrome
"PIZZA HUT 14"" Cheese Pizza, Hand-Tossed Crust",100.0,275.0,37.0,82.0,25.0,"C, B",Zinc,General nutrition,All ages,Chronic Fatigue Syndrome
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, steak, bottom round, round",100.0,198.0,40.0,56.0,13.0,"A, C, B, D","Zinc, Magnesium, Iron",General nutrition,Old age,Chronic Pain
"Tortillas, corn, ready-to-bake or -fry",100.0,218.0,33.0,0.0,22.0,"C, A, B","Calcium, Iron",General nutrition,Children,"Lung Cancer, Anorexia Nervosa, Hypothyroidism"
